record_id,month
1477,2024-12
1477,2025-01
1477,2025-03
1477,2025-04
1477,2025-09
1477,2025-10
1477,2025-11
1478,2025-01
1478,2025-04
1478,2025-05
1478,2025-08
1478,2025-09
1478,2025-10
1484,2025-01
1484,2025-03
1484,2025-04
1484,2025-05
1484,2025-06
1484,2025-09
1484,2025-10
1484,2025-11
1485,2025-02
1485,2025-09
1485,2025-10
1485,2025-11
1488,2025-01
1488,2025-03
1488,2025-05
1488,2025-08
1488,2025-09
1488,2025-10
1489,2025-10
1489,2025-11
1489,2025-12
1491,2025-10
1491,2025-11
1491,2025-12
1493,2025-07
1493,2025-11
1493,2025-12
1493,2026-01
1494,2025-01
1494,2025-04
1494,2025-08
1494,2025-09
1494,2025-10
1495,2024-11
1495,2024-12
1495,2025-01
1495,2025-03
1495,2025-04
1495,2025-10
1495,2025-11
1495,2025-12
1496,2024-12
1496,2025-01
1496,2025-02
1496,2025-03
1496,2025-04
1496,2025-08
1496,2025-09
1496,2025-10
1498,2025-09
1498,2025-10
1498,2025-11
1518,2025-01
1518,2025-02
1518,2025-08
1518,2025-09
1518,2025-10
1525,2025-02
1525,2025-04
1525,2025-05
1525,2025-09
1525,2025-10
1525,2025-11
1528,2024-12
1528,2025-02
1528,2025-08
1528,2025-09
1528,2025-10
1531,2025-05
1531,2025-06
1531,2025-07
1531,2025-08
1531,2025-12
1531,2026-01
1531,2026-02
1537,2025-03
1537,2025-07
1537,2025-11
1537,2025-12
1537,2026-01
1538,2025-07
1538,2025-11
1538,2025-12
1538,2026-01
1539,2025-02
1539,2025-03
1539,2025-04
1539,2025-09
1539,2025-10
1539,2025-11
1544,2024-11
1544,2024-12
1544,2025-01
1544,2025-02
1544,2025-03
1544,2025-04
1545,2025-09
1545,2025-10
1545,2025-11
1546,2025-09
1546,2025-10
1546,2025-11
1549,2025-09
1549,2025-10
1549,2025-11
1553,2025-07
1553,2025-08
1553,2025-09
1553,2025-10
1553,2025-11
1553,2025-12
1554,2024-11
1554,2024-12
1554,2025-01
1554,2025-02
1554,2025-03
1554,2025-04
1554,2025-10
1554,2025-11
1554,2025-12
1556,2025-07
1556,2025-08
1556,2025-09
1556,2025-10
1556,2025-11
1556,2025-12
1558,2025-07
1558,2025-10
1558,2025-11
1558,2025-12
1560,2025-07
1560,2025-08
1560,2025-09
1560,2025-10
1560,2025-11
1560,2025-12
1565,2025-10
1565,2025-11
1565,2025-12
1567,2025-09
1567,2025-10
1567,2025-11
1569,2025-09
1569,2025-10
1569,2025-11
1571,2025-09
1571,2025-10
1571,2025-11
1572,2025-09
1572,2025-10
1574,2025-04
1574,2025-06
1574,2025-07
1574,2025-08
1574,2025-12
1574,2026-01
1574,2026-02
1575,2025-06
1575,2025-07
1575,2025-08
1575,2025-12
1575,2026-01
1575,2026-02
1577,2025-07
1577,2025-11
1577,2025-12
1577,2026-01
1584,2025-05
1584,2025-09
1584,2025-10
1584,2025-11
1596,2025-09
1596,2025-10
1598,2025-09
1598,2025-10
1598,2025-11
1609,2025-04
1609,2025-06
1609,2025-07
1609,2025-08
1609,2025-12
1609,2026-01
1609,2026-02
1610,2025-02
1610,2025-03
1610,2025-04
1610,2025-05
1610,2025-09
1610,2025-10
1610,2025-11
1611,2025-06
1611,2025-10
1611,2025-11
1611,2025-12
1613,2025-03
1613,2025-04
1613,2025-09
1613,2025-10
1613,2025-11
1614,2025-07
1614,2025-11
1614,2025-12
1614,2026-01
1617,2025-07
1617,2025-08
1617,2025-09
1617,2025-10
1617,2025-11
1617,2025-12
1620,2025-02
1620,2025-04
1620,2025-09
1620,2025-10
1620,2025-11
1622,2025-09
1622,2025-10
1622,2025-11
1624,2025-05
1624,2025-10
1624,2025-11
1624,2025-12
1630,2025-09
1630,2025-10
1630,2025-11
1631,2025-02
1631,2025-04
1631,2025-09
1631,2025-10
1631,2025-11
1632,2025-09
1632,2025-10
1632,2025-11
1634,2025-07
1634,2025-11
1634,2025-12
1634,2026-01
1647,2025-07
1647,2025-08
1647,2025-12
1647,2026-01
1647,2026-02
1661,2025-07
1661,2025-10
1661,2025-11
1661,2025-12
1666,2025-03
1666,2025-04
1666,2025-06
1666,2025-07
1666,2025-08
1666,2025-12
1666,2026-01
1671,2025-03
1671,2025-04
1671,2025-06
1671,2025-07
1671,2025-08
1671,2025-12
