record_id,screen_time_y1_arm_1_screen_time_1_complete,screen_time_y1_arm_1_screen_time_2_complete,screen_time_y1_arm_1_screen_time_3_complete,screen_time_y1_arm_1_screen_time_4_complete,screen_time_y1_arm_1_screen_time_5_complete,screen_time_y1_arm_1_screen_time_6_complete,screen_time_2_y1_arm_1_screen_time_1_2_complete,screen_time_2_y1_arm_1_screen_time_2_2_complete,screen_time_2_y1_arm_1_screen_time_3_2_complete
487,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
489,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
490,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
493,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
497,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
498,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
500,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
502,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
503,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
505,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
507,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
508,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
509,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
510,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
511,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
512,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
515,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
516,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
519,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
520,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
527,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
529,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
531,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
534,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
536,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
538,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
540,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
546,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
547,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
548,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
549,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
551,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
552,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
555,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
562,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
564,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
569,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
573,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
578,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
580,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
582,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
583,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
588,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
589,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
591,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
599,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
601,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
605,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
606,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
611,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
612,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
613,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
614,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
616,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
618,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
619,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
626,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
629,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
632,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
658,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
679,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
685,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
688,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
689,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
694,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
701,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
712,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
713,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
737,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
738,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
758,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
759,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
761,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
772,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
773,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
